line_id,line_name,facility_location,line_type,theoretical_capacity,actual_capacity,efficiency_rating,installation_date,last_maintenance_date,status,supervisor,shift_pattern,created_at
1,Line A - Assembly,South Plant,Assembly,421,300,71.3,2020-05-06,2024-09-28,Active,Hunter Kramer,3-shift,2024-04-05 02:29:41
2,Line B - Machining,North Plant,Machining,791,724,91.5,2016-05-06,2024-05-06,Idle,Alexis Baker,3-shift,2024-11-13 02:59:05
3,Line C - Welding,South Plant,Welding,773,653,84.5,2018-07-19,2024-04-14,Active,Jason Wilson,Day only,2024-07-21 04:45:54
4,Line D - Packaging,Building A,Packaging,568,442,77.8,2015-02-08,2024-11-14,Active,Jerome Cox,3-shift,2024-10-02 07:45:38
5,Line E - Packaging,Building A,Packaging,235,219,93.2,2017-09-27,2024-05-25,Maintenance,Jodi Walker,Day only,2024-11-09 23:48:37
6,Line F - Assembly,Building C,Assembly,783,708,90.4,2022-06-10,2024-03-09,Active,Monica Kerr,3-shift,2024-10-10 05:39:34
7,Line G - Packaging,Main Facility,Packaging,388,330,85.1,2018-11-05,2024-12-17,Active,Elizabeth Schneider,24/7,2024-05-08 01:50:58
8,Line H - Machining,Building C,Machining,749,603,80.5,2015-06-30,2024-06-19,Active,Zachary Boone,2-shift,2024-08-14 20:05:09
9,Line I - Welding,Building A,Welding,674,473,70.2,2022-10-01,2024-10-06,Active,Brian Joseph,2-shift,2024-08-08 04:38:24
10,Line J - Assembly,Building A,Assembly,415,328,79.0,2019-01-05,2024-12-15,Active,Steven Morris,Day only,2024-10-13 14:47:44
11,Line K - Processing,Building B,Processing,342,313,91.5,2019-08-16,2024-04-01,Maintenance,Cameron Weber,2-shift,2024-05-16 05:47:46
12,Line L - Machining,North Plant,Machining,491,450,91.6,2017-06-30,2024-08-23,Active,Michelle James,2-shift,2024-04-24 00:51:41
13,Line M - Inspection,Building A,Inspection,508,397,78.1,2018-02-17,2024-11-24,Maintenance,Elizabeth Wagner,Day only,2024-01-15 04:11:58
14,Line N - Packaging,Building C,Packaging,282,238,84.4,2015-06-06,2024-11-01,Active,Ricky Wilson,Day only,2024-08-11 22:04:17
15,Line O - Machining,Building B,Machining,494,456,92.3,2017-11-09,2024-12-28,Active,Sherry Arnold,2-shift,2024-07-05 15:42:11
16,Line P - Machining,South Plant,Machining,780,725,92.9,2018-07-09,2024-06-02,Active,Jessica Beasley,24/7,2024-06-16 14:39:03
17,Line Q - Packaging,North Plant,Packaging,667,488,73.2,2022-06-16,2024-12-12,Idle,Ronald Ross,Day only,2024-07-26 19:56:59
18,Line R - Assembly,North Plant,Assembly,411,317,77.1,2021-07-03,2024-12-01,Maintenance,Emily Edwards,24/7,2024-08-14 07:46:50
19,Line S - Finishing,Building C,Finishing,273,236,86.4,2020-10-12,2024-11-13,Active,Troy Mcdaniel,2-shift,2024-12-10 11:18:07
20,Line T - Inspection,Building A,Inspection,303,223,73.6,2017-09-29,2024-11-08,Maintenance,Brandon Miller,24/7,2024-11-18 20:57:34
